,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
119,2010-06-30,10151867,4635141985,453.0,464.0,452.5,452.5,-9.5,7020
120,2010-07-01,15248875,6733387875,452.5,454.0,432.0,432.0,-20.5,11437
121,2010-07-02,17103557,7349238396,433.0,437.0,424.0,425.5,-6.5,12163
122,2010-07-05,7001316,3054926752,429.0,441.0,429.0,440.0,14.5,5569
123,2010-07-06,10361170,4637207020,438.0,454.5,436.0,453.0,13.0,7328
124,2010-07-07,9333831,4224158943,456.0,460.0,447.5,448.0,-5.0,6693
125,2010-07-08,8307047,3799557432,457.0,463.0,453.0,454.0,6.0,6530
126,2010-07-09,10546210,4916824487,454.0,473.0,453.0,471.5,17.5,7815
127,2010-07-12,8270933,3890857144,474.0,477.0,465.0,468.0,-3.5,5403
128,2010-07-13,7566431,3528117415,475.0,475.0,459.0,462.5,-5.5,5693
129,2010-07-14,8294595,3936930625,469.0,480.0,469.0,475.0,12.5,6206
130,2010-07-15,8125466,3793813622,470.0,473.0,462.0,463.0,-12.0,5999
131,2010-07-16,8518938,3982282360,467.0,469.5,464.0,469.0,6.0,4754
132,2010-07-19,5224832,2427703262,465.0,469.0,461.0,464.0,-5.0,3724
133,2010-07-20,5208009,2444410230,470.0,471.0,467.5,468.0,4.0,3614
134,2010-07-21,5976386,2780969534,472.0,473.0,459.0,462.0,-6.0,4376
135,2010-07-22,6228752,2858382660,462.0,466.0,452.0,453.0,-9.0,4792
136,2010-07-23,5979879,2777622130,460.0,472.0,458.0,470.0,17.0,4318
137,2010-07-26,7206798,3446790040,475.0,480.5,473.0,480.0,10.0,5199
138,2010-07-27,15381629,7417453307,482.5,488.0,473.0,483.0,3.0,8194
139,2010-07-28,20537886,9285255946,460.0,465.0,442.0,442.0,0.0,14581
140,2010-07-29,13875488,5943979304,426.0,434.0,425.0,427.0,-15.0,9784
141,2010-07-30,8144193,3523334841,430.0,437.0,429.0,433.5,6.5,6009
142,2010-08-02,18337749,7731117317,420.0,432.0,413.0,430.5,-3.0,12343
143,2010-08-03,14357421,6343231014,435.0,447.5,435.0,438.0,7.5,8615
144,2010-08-04,9584444,4207858248,445.0,445.0,435.5,438.5,0.5,6112
145,2010-08-05,6904242,3039946480,442.0,444.0,437.5,438.0,-0.5,4985
146,2010-08-06,8815464,3913213408,440.0,447.0,439.0,444.5,6.5,5735
147,2010-08-09,11714893,5371050459,446.0,467.0,446.0,463.0,18.5,8874
148,2010-08-10,9322525,4254588090,464.0,464.0,452.0,453.0,-10.0,6146
149,2010-08-11,8582875,3925293125,453.0,461.5,452.0,455.0,2.0,5601
150,2010-08-12,6138529,2805864869,460.0,460.0,452.5,459.0,4.0,3824
151,2010-08-13,7128496,3286812515,459.0,464.0,457.5,460.0,1.0,4239
152,2010-08-16,4960896,2272151556,459.0,463.5,454.0,460.0,0.0,3418
153,2010-08-17,5428370,2497837720,461.5,465.0,456.0,456.0,-4.0,3581
154,2010-08-18,9810485,4497678630,460.0,463.0,455.0,457.0,1.0,5118
155,2010-08-19,5570272,2557592140,457.0,461.5,456.0,458.0,1.0,3225
